,Rank,OPR,DPR,CCWM,teleopOPR,autoOPR,endgameOPR,scheduleStrength,,
1515,27,44.81,45.20,-0.39,31.41,10.34,16.67,2.05,,
5892,11,44.75,16.17,28.58,25.66,20.23,3.47,-0.67,,
5576,25,44.73,28.87,15.86,30.54,11.92,25.68,0.24,,
5546,6,44.68,25.95,18.73,29.73,14.28,17.52,-0.20,,
1051,38,44.64,41.69,2.95,32.05,14.98,31.17,1.10,,
4152,8,44.61,29.82,14.79,26.27,19.97,18.24,-0.59,,
3122,26,44.60,15.04,29.55,28.59,7.72,14.72,-0.06,,
5167,11,44.56,29.28,15.28,28.55,14.31,11.44,-0.53,,
288,16,44.45,36.58,7.87,27.04,4.41,20.42,1.55,,
2421,1,44.45,14.45,30.00,26.08,12.81,17.67,-2.08,,
3636,2,44.43,6.96,37.47,30.64,11.68,21.92,-1.14,,
4405,10,44.39,30.88,13.51,34.69,11.89,30.87,0.02,,
2054,5,44.34,18.72,25.63,23.96,11.64,9.84,-0.27,,
2826,9,44.30,28.09,16.21,32.01,14.69,24.97,1.26,,
5834,4,44.23,41.74,2.49,33.39,15.19,25.01,0.84,,
8127,24,44.18,12.68,31.51,15.11,6.47,9.47,0.67,,
2067,8,44.08,19.12,24.96,30.88,12.26,21.73,-0.96,,
5987,4,44.06,15.84,28.22,25.87,17.48,14.08,-1.86,,
1758,19,43.96,34.88,9.09,30.88,10.28,8.46,1.69,,
1477,2,43.92,8.72,35.20,28.30,13.95,15.97,-1.23,,
1569,17,43.91,42.85,1.06,25.72,13.76,21.23,1.98,,
4506,21,43.86,35.64,8.22,26.38,17.24,17.42,-0.70,,
78,9,43.79,31.15,12.64,29.80,18.02,18.51,-0.08,,
3275,28,43.77,43.49,0.28,24.51,11.71,22.45,0.09,,
167,7,43.75,23.42,20.33,31.89,13.21,20.98,-0.94,,
867,5,43.74,25.40,18.34,33.04,6.21,23.68,-1.75,,
4738,10,43.73,18.65,25.08,34.31,4.25,26.86,0.67,,
2959,10,43.72,21.69,22.03,26.21,13.33,8.56,0.12,,
3859,19,43.72,49.96,-6.24,27.34,12.74,12.56,0.73,,
3875,7,43.66,34.11,9.55,34.98,9.74,20.76,-0.34,,
7475,6,43.65,11.21,32.45,27.44,8.16,24.29,0.01,,
3360,7,43.61,44.09,-0.48,24.52,18.00,-4.07,-0.57,,
2609,7,43.55,27.61,15.94,37.14,5.26,23.92,-0.21,,
2836,14,43.50,28.19,15.31,30.91,6.70,28.19,0.24,,
3620,9,43.39,19.52,23.87,27.40,7.18,17.11,-2.03,,
3175,12,43.32,18.48,24.83,14.86,13.76,5.57,-0.29,,
316,4,43.32,23.46,19.86,25.53,12.16,16.38,0.12,,
6429,16,43.22,20.17,23.05,7.10,11.06,4.34,1.11,,
1727,23,43.11,24.82,18.29,27.06,14.68,2.54,1.57,,
7782,6,43.09,36.80,6.29,26.53,16.14,17.45,-0.39,,
2028,17,43.08,35.50,7.58,24.02,18.29,9.67,-0.09,,
8175,7,43.06,22.37,20.69,22.22,13.72,12.72,-1.39,,
6736,12,43.02,22.57,20.45,27.99,5.86,22.38,-0.64,,
4525,10,43.02,24.59,18.43,24.09,14.45,16.25,-1.00,,
8083,4,43.00,25.85,17.16,31.12,14.00,25.62,0.48,,
70,15,42.92,41.27,1.65,21.70,12.73,16.84,-0.09,,
744,45,42.85,45.71,-2.86,29.75,13.50,14.44,0.85,,
4027,19,42.81,27.92,14.89,15.22,17.70,6.52,-1.48,,
7038,26,42.75,46.55,-3.81,28.26,12.52,19.49,0.80,,
1389,3,42.74,6.41,36.33,24.76,12.80,12.55,-0.58,,
6135,9,42.73,31.09,11.64,29.42,9.88,23.70,1.26,,
2630,10,42.71,25.24,17.47,12.65,13.93,3.14,0.81,,
2998,16,42.64,39.89,2.75,35.54,9.59,20.69,1.41,,
6113,4,42.59,10.25,32.34,18.01,16.38,8.03,-1.28,,
5635,5,42.59,30.05,12.53,20.69,8.28,18.12,-0.23,,
3250,13,42.56,6.58,35.98,34.49,9.37,26.70,-1.75,,
379,42,42.55,40.58,1.98,28.93,12.27,9.83,1.63,,
3536,12,42.54,33.55,9.00,25.66,12.62,21.84,-2.29,,
299,8,42.53,37.75,4.78,28.27,13.51,24.68,0.66,,
3201,44,42.52,43.12,-0.59,28.92,10.07,15.61,1.77,,
573,13,42.48,26.19,16.29,25.26,12.99,18.40,0.83,,
4334,15,42.41,26.59,15.81,13.69,12.01,9.45,0.26,,
4272,15,42.38,38.22,4.16,26.22,20.35,8.09,0.06,,
6045,9,42.35,18.87,23.48,19.03,18.94,10.20,-0.75,,
5674,6,42.35,33.07,9.28,28.74,3.80,18.67,-1.23,,
967,25,42.33,24.29,18.04,19.68,15.51,8.35,0.24,,
1071,12,42.33,38.12,4.22,25.50,13.77,21.79,0.29,,
6097,19,42.23,21.94,20.29,23.41,16.44,9.15,-0.40,,
6453,23,42.22,39.97,2.25,32.60,8.97,22.03,0.19,,
4961,11,42.20,16.27,25.93,33.37,9.48,25.66,0.99,,
7828,12,42.18,32.39,9.79,33.14,10.25,27.84,-0.24,,
6768,5,42.13,16.29,25.84,33.45,9.64,26.68,-0.20,,
1159,31,42.04,20.81,21.23,21.06,11.00,16.57,0.67,,
6831,10,41.85,26.97,14.88,27.32,9.54,17.32,-0.79,,
2655,13,41.82,31.03,10.80,18.88,16.12,0.06,-0.26,,
4099,14,41.80,23.28,18.51,19.93,11.85,16.80,-0.13,,
1599,3,41.78,18.14,23.65,28.69,12.93,16.75,-1.72,,
6886,16,41.76,34.53,7.23,21.86,12.57,18.07,1.37,,
6377,10,41.73,32.10,9.63,29.90,11.66,2.55,-0.03,,
6217,27,41.69,29.68,12.01,19.75,16.83,11.51,-1.02,,
3266,16,41.54,47.60,-6.06,27.58,7.49,15.19,0.06,,
1740,10,41.53,19.27,22.26,26.75,14.08,19.25,-1.37,,
2522,4,41.53,36.10,5.42,25.93,10.22,19.94,-0.95,,
3300,27,41.50,33.76,7.73,18.51,5.84,18.52,0.17,,
716,15,41.45,39.65,1.80,23.49,12.64,10.73,1.54,,
2443,17,41.40,42.75,-1.35,27.49,10.46,19.02,0.30,,
5561,9,41.40,20.26,21.14,23.60,16.90,20.00,0.98,,
1311,6,41.33,33.17,8.15,26.59,4.14,20.53,-0.40,,
3216,18,41.33,30.11,11.22,33.19,7.32,24.27,0.17,,
2945,7,41.29,19.89,21.40,34.54,11.59,28.80,-0.16,,
772,29,41.28,33.03,8.26,25.57,16.16,14.35,1.53,,
3230,15,41.21,19.30,21.91,23.41,7.49,17.32,-0.15,,
4557,4,41.20,13.78,27.42,26.61,15.83,19.90,-0.92,,
4226,7,41.18,33.32,7.86,29.38,14.70,23.76,0.46,,
3667,12,41.18,45.49,-4.32,28.69,5.58,23.02,-0.14,,
8242,19,41.17,25.13,16.04,10.32,10.99,10.30,0.66,,
614,12,41.14,33.29,7.85,22.76,14.14,23.21,2.05,,
6055,14,41.13,31.77,9.37,27.05,14.51,19.80,-0.61,,
2239,39,41.08,25.72,15.37,21.78,17.79,6.36,0.34,,
2861,8,41.08,26.21,14.87,28.92,9.35,29.37,-0.48,,
4230,34,41.03,40.79,0.24,36.56,1.43,23.71,1.02,,
4270,8,40.97,13.57,27.40,30.87,4.76,21.99,-1.54,,
4994,6,40.94,36.90,4.03,37.01,6.10,34.89,-0.23,,
166,6,40.89,20.96,19.92,20.40,16.15,17.91,-0.08,,
7492,1,40.84,6.56,34.27,26.91,5.92,24.76,0.07,,
597,15,40.81,42.91,-2.11,19.86,5.56,4.19,0.40,,
2637,23,40.80,19.02,21.78,17.93,9.81,9.12,1.22,,
384,21,40.80,31.42,9.38,12.71,17.45,7.43,0.67,,
3294,52,40.71,38.63,2.08,25.20,7.42,18.48,1.31,,
3196,7,40.59,11.29,29.30,18.68,12.14,7.59,0.34,,
4639,6,40.57,18.95,21.62,26.83,11.32,15.88,0.19,,
171,11,40.53,31.59,8.94,26.90,8.75,17.62,-0.83,,
6421,22,40.53,57.10,-16.57,26.02,14.41,24.29,-0.01,,
2429,10,40.49,38.78,1.71,37.79,3.85,32.97,1.66,,
7244,9,40.48,46.22,-5.74,24.08,15.45,17.91,0.44,,
281,17,40.47,16.51,23.96,23.61,8.09,12.54,-0.26,,
2682,14,40.43,35.20,5.23,27.70,11.98,14.48,1.01,,
1168,8,40.29,10.19,30.09,32.24,6.94,28.68,-0.51,,
8092,27,40.27,18.85,21.43,13.51,17.57,4.31,0.91,,
2186,5,40.26,26.67,13.59,26.60,4.77,20.12,-1.56,,
2912,16,40.23,29.17,11.06,22.31,9.05,11.15,-0.34,,
4623,23,40.16,19.81,20.35,21.66,16.17,9.00,0.68,,
537,4,40.13,7.99,32.14,16.13,15.11,8.93,-0.89,,
8081,10,40.13,30.46,9.67,24.60,5.64,22.46,0.91,,
4089,24,40.13,35.65,4.48,26.30,12.24,18.22,1.30,,
2846,18,39.99,46.01,-6.02,28.84,12.46,25.72,-1.23,,
6348,10,39.92,22.30,17.62,29.49,7.41,19.75,-0.85,,
3512,5,39.87,16.35,23.51,26.79,5.63,22.02,-1.47,,
5986,19,39.85,33.18,6.66,12.61,4.97,7.96,-0.01,,
2234,21,39.80,31.29,8.51,24.17,12.93,18.11,0.54,,
6079,23,39.78,53.07,-13.30,18.76,17.57,16.10,1.88,,
4216,18,39.73,30.75,8.99,24.14,7.87,12.93,1.36,,
8188,38,39.71,17.18,22.52,32.51,8.67,21.96,0.35,,
7906,27,39.68,47.49,-7.81,25.78,6.25,23.38,1.89,,
121,6,39.68,14.58,25.10,15.74,13.74,6.60,0.51,,
7494,5,39.66,1.45,38.22,20.08,13.08,9.45,-1.45,,
3711,5,39.60,39.32,0.28,24.84,13.40,25.78,0.73,,
6104,13,39.57,40.75,-1.18,22.04,15.35,10.17,-0.02,,
7443,2,39.52,16.87,22.65,18.92,17.91,17.66,-1.86,,
1418,9,39.52,26.54,12.99,32.59,9.79,21.56,0.48,,
4476,6,39.49,30.60,8.88,29.23,12.26,6.93,0.45,,
2175,17,39.46,14.87,24.58,17.10,9.36,7.58,-0.61,,
558,25,39.43,40.81,-1.37,25.18,15.51,15.59,1.87,,
7858,16,39.37,36.56,2.81,22.52,14.49,9.42,-0.01,,
5878,7,39.37,10.16,29.21,27.55,9.89,20.27,0.14,,
5464,40,39.35,37.95,1.40,24.48,12.49,18.92,1.57,,
8373,13,39.35,28.22,11.13,18.36,13.06,6.70,-0.57,,
2849,7,39.29,15.66,23.63,28.64,3.56,25.50,0.02,,
4593,29,39.26,54.45,-15.18,28.73,15.39,22.70,-1.09,,
6705,14,39.24,30.56,8.68,21.57,6.41,19.99,-0.10,,
7056,7,39.21,19.74,19.47,27.38,10.99,20.40,-0.20,,
3740,12,39.17,18.05,21.13,26.49,6.23,25.30,-1.01,,
7530,35,39.16,29.18,9.98,32.81,6.00,20.04,1.07,,
4010,1,39.11,3.79,35.32,22.18,14.64,15.83,0.32,,
7225,9,39.11,20.18,18.93,22.95,12.12,17.96,-1.33,,
6334,14,39.09,29.04,10.04,5.92,22.17,1.59,-0.24,,
3065,9,39.04,32.94,6.10,21.63,11.19,4.81,-1.04,,
5110,6,39.03,19.26,19.77,26.43,7.58,20.23,-1.78,,
4375,8,38.95,28.89,10.06,24.18,15.86,15.42,-0.76,,
4325,8,38.94,39.84,-0.90,30.09,10.90,24.16,0.06,,
3522,5,38.94,10.78,28.15,21.62,9.93,14.75,0.48,,
1895,21,38.86,38.40,0.46,25.99,8.31,23.28,1.20,,
3289,11,38.79,42.05,-3.27,26.63,9.00,21.36,0.46,,
5053,16,38.76,39.75,-0.98,19.99,18.38,13.08,-0.21,,
7454,4,38.74,22.20,16.53,31.75,7.29,25.72,-1.35,,
3749,23,38.73,23.21,15.52,22.76,12.73,21.93,1.14,,
3039,15,38.58,29.87,8.71,21.36,14.80,-1.33,0.54,,
8255,15,38.53,38.01,0.52,29.93,5.88,19.18,-0.52,,
2081,18,38.52,24.48,14.03,28.33,1.67,26.87,-0.20,,
3211,13,38.50,26.45,12.05,13.98,17.13,5.79,-1.72,,
5610,11,38.48,11.59,26.89,24.35,11.66,15.54,-0.88,,
4576,19,38.48,52.03,-13.55,27.34,9.49,9.13,1.01,,
3134,33,38.42,31.08,7.34,21.10,8.98,20.53,-0.06,,
6435,11,38.42,17.61,20.81,14.66,7.87,8.18,-0.31,,
6729,12,38.41,18.50,19.91,18.64,8.26,11.77,0.61,,
7787,18,38.40,23.94,14.46,14.38,12.42,11.60,-1.07,,
6640,11,38.36,2.70,35.65,24.41,7.57,25.01,-1.30,,
3926,23,38.35,10.83,27.52,22.27,8.25,11.10,-1.16,,
4959,23,38.30,40.34,-2.04,19.53,11.36,17.39,0.03,,
8055,10,38.29,39.06,-0.77,18.54,16.40,5.50,-0.25,,
4456,12,38.28,13.69,24.59,28.64,7.45,26.00,0.11,,
888,7,38.27,31.03,7.24,23.68,9.09,15.75,0.12,,
4338,14,38.27,21.05,17.22,26.47,16.53,20.82,-1.23,,
1388,13,38.23,35.88,2.36,24.37,14.03,17.59,0.39,,
2199,19,38.23,36.18,2.04,22.45,11.75,16.83,1.41,,
6580,21,38.22,64.54,-26.32,25.07,17.64,9.48,1.76,,
2590,12,38.20,19.15,19.05,27.38,9.70,24.45,-1.20,,
7735,20,38.18,19.51,18.67,21.60,8.59,15.38,-0.17,,
6417,10,38.14,22.63,15.51,19.01,9.39,16.01,0.64,,
3535,5,38.12,32.96,5.16,30.30,8.89,24.31,-1.83,,
5526,16,38.11,12.41,25.69,23.09,14.46,15.68,-2.56,,
5046,10,38.08,22.47,15.61,28.96,9.09,14.05,0.03,,
2930,16,38.04,19.70,18.34,20.21,9.94,12.38,-1.54,,
1711,10,38.03,13.16,24.87,26.30,12.68,15.75,-0.33,,
181,23,37.95,19.99,17.96,27.59,4.68,14.49,1.25,,
2594,7,37.95,25.14,12.80,23.05,11.34,16.93,0.55,,
3299,33,37.94,50.03,-12.09,27.76,5.31,28.58,-0.21,,
7167,23,37.91,28.58,9.32,19.44,10.74,4.44,-0.23,,
7103,40,37.85,46.35,-8.50,21.00,16.07,6.48,1.39,,
3058,46,37.84,28.18,9.66,27.21,10.28,14.28,1.01,,
7237,19,37.77,12.99,24.78,17.65,16.94,13.23,-0.83,,
1741,10,37.73,35.12,2.60,16.02,11.41,10.60,1.30,,
6324,11,37.65,26.44,11.21,32.64,4.35,22.85,-0.22,,
3472,13,37.57,25.12,12.45,19.86,4.65,18.44,1.03,,
4661,20,37.51,40.29,-2.78,27.08,7.73,20.62,1.98,,
6146,29,37.50,35.08,2.42,20.72,13.42,17.44,0.00,,
5502,4,37.48,28.98,8.50,26.80,6.46,20.64,-1.40,,
3354,7,37.44,5.41,32.03,19.55,10.03,19.55,0.63,,
2183,39,37.38,23.01,14.37,21.59,7.81,9.25,-0.55,,
3559,22,37.38,38.89,-1.51,19.06,3.67,13.90,0.42,,
5468,9,37.36,15.86,21.50,27.26,5.85,22.31,0.00,,
7672,12,37.33,18.21,19.12,6.40,7.10,1.21,1.49,,
4243,20,37.32,45.89,-8.58,25.98,7.04,25.38,0.24,,
1089,15,37.25,39.59,-2.34,27.26,7.86,8.69,-0.79,,
1159,21,37.23,37.69,-0.46,22.26,11.97,20.75,0.04,,
3602,9,37.21,21.49,15.73,14.68,16.93,8.15,-0.11,,
5113,17,37.20,35.15,2.04,17.63,10.86,12.27,-0.05,,
2231,11,37.19,29.45,7.74,29.60,9.71,14.33,0.11,,
554,5,37.19,5.61,31.57,33.03,3.78,21.27,-0.33,,
2603,33,37.16,35.72,1.44,17.55,14.44,10.36,0.64,,
7177,8,37.10,24.45,12.65,23.66,12.39,15.61,-0.46,,
4663,17,37.10,4.14,32.96,20.22,17.02,8.84,-1.03,,
5238,26,37.10,24.21,12.88,26.73,8.34,25.36,0.60,,
5112,21,37.08,32.16,4.91,18.59,14.80,10.20,0.41,,
3871,54,37.03,38.21,-1.17,20.78,8.53,15.02,1.23,,
236,19,37.02,27.43,9.59,15.65,8.73,6.81,-0.12,,
5332,7,37.01,25.72,11.29,23.14,13.09,20.28,-0.51,,
1517,16,37.01,40.90,-3.90,20.34,10.96,12.84,-0.20,,
3324,32,36.92,31.34,5.57,23.54,15.22,19.07,1.09,,
2521,12,36.88,30.52,6.37,24.17,10.43,21.66,1.84,,
359,31,36.87,21.63,15.24,21.69,9.56,7.04,-0.50,,
4189,5,36.85,18.93,17.93,27.59,8.38,19.71,0.43,,
5517,20,36.85,32.43,4.42,20.63,15.94,20.03,2.09,,
5205,23,36.74,43.70,-6.96,16.53,17.79,4.07,1.84,,
6110,19,36.71,39.90,-3.19,18.00,11.55,13.45,0.67,,
484,13,36.71,32.37,4.33,23.49,12.91,14.55,0.97,,
7634,8,36.58,25.99,10.60,28.72,9.51,24.34,-0.43,,
4827,11,36.55,29.45,7.09,29.67,8.29,20.59,-1.78,,
7491,12,36.51,23.91,12.60,21.53,13.08,14.15,-0.34,,
7553,29,36.51,33.07,3.45,16.62,15.61,9.72,1.60,,
5658,20,36.49,8.09,28.40,32.71,5.65,22.07,-0.63,,
3007,10,36.46,30.20,6.26,24.86,9.58,14.42,-0.85,,
839,16,36.46,25.54,10.91,22.53,12.30,10.55,-0.89,,
7289,8,36.35,17.38,18.97,25.94,7.46,23.38,-0.15,,
2129,44,36.33,52.62,-16.29,19.69,9.30,17.17,0.96,,
3767,13,36.32,34.00,2.32,28.38,6.82,19.23,-0.22,,
4947,21,36.29,39.78,-3.50,19.70,11.51,6.85,0.98,,
5338,5,36.27,16.57,19.71,21.86,12.30,19.95,-0.22,,
3180,12,36.25,25.51,10.74,11.92,12.27,5.27,0.24,,
1912,38,36.25,41.19,-4.94,18.04,19.68,13.66,-0.10,,
5502,5,36.20,11.42,24.78,30.55,6.33,21.78,-0.72,,
3267,6,36.20,12.97,23.23,19.45,4.97,11.18,-2.23,,
4586,12,36.17,35.53,0.64,25.05,12.98,19.63,0.77,,
5417,4,36.17,9.21,26.95,28.58,7.57,22.24,-1.34,,
4926,25,36.14,60.26,-24.12,30.13,9.11,19.28,2.91,,
7041,13,36.14,31.64,4.50,26.03,2.07,26.56,0.57,,
6390,10,36.13,23.52,12.61,12.05,12.76,8.30,-1.03,,
5224,6,36.10,17.05,19.05,25.64,7.98,20.14,-0.43,,
1287,21,36.06,14.09,21.97,25.94,12.25,20.76,-0.88,,
5662,37,36.06,54.87,-18.81,17.32,12.71,14.85,2.73,,
3256,25,35.98,31.34,4.63,22.27,3.56,7.42,0.65,,
1225,16,35.97,22.30,13.67,30.84,5.72,23.31,0.38,,
6077,8,35.93,29.86,6.07,24.06,13.17,22.69,-0.20,,
6584,25,35.91,17.08,18.83,16.43,5.66,8.74,0.99,,
2723,10,35.89,21.74,14.14,18.15,17.26,6.94,-1.78,,
3490,13,35.87,7.12,28.74,25.08,14.63,14.72,-0.84,,
1899,11,35.87,36.65,-0.79,18.23,13.59,9.53,-0.70,,
4480,59,35.82,48.91,-13.09,16.24,10.72,18.45,1.31,,
7220,32,35.81,19.90,15.91,22.25,14.43,7.70,0.77,,
2333,34,35.79,45.31,-9.52,3.57,12.89,0.37,0.71,,
4182,16,35.77,40.97,-5.20,36.75,2.78,23.70,0.31,,
5667,27,35.77,41.84,-6.07,10.77,14.53,4.49,0.13,,
5851,3,35.65,24.64,11.01,31.78,4.49,24.10,-1.94,,
3336,6,35.62,15.05,20.57,30.32,10.35,22.94,-0.65,,
240,12,35.57,18.43,17.14,20.81,13.45,16.61,-1.08,,
8013,9,35.57,33.06,2.50,25.77,9.30,28.57,-0.96,,
1317,22,35.44,13.57,21.87,14.47,0.99,7.33,-1.68,,
4859,33,35.44,35.06,0.38,22.01,11.39,16.84,0.43,,
1285,5,35.33,30.85,4.48,21.80,13.21,4.44,0.08,,
2881,20,35.32,28.19,7.13,27.71,5.39,20.96,0.49,,
8054,27,35.30,17.52,17.79,8.22,5.82,5.75,0.46,,
2531,19,35.30,23.36,11.94,18.57,9.76,10.04,-0.47,,
3408,4,35.22,25.79,9.43,28.49,12.97,28.06,1.05,,
5993,5,35.18,17.29,17.88,18.38,14.76,14.89,0.21,,
5182,13,35.13,34.49,0.65,22.20,11.13,14.89,0.67,,
2839,37,35.13,44.35,-9.22,22.78,8.92,21.38,1.34,,
5560,15,35.10,25.55,9.55,19.69,6.09,11.90,0.57,,
447,17,35.08,43.30,-8.21,19.93,8.39,14.68,0.54,,
7664,27,35.03,34.95,0.07,19.94,5.68,17.70,1.25,,
6985,16,34.99,23.98,11.02,28.04,9.93,23.03,1.27,,
6171,7,34.97,13.52,21.45,18.48,13.00,6.65,-1.79,,
8193,9,34.97,25.81,9.16,18.76,13.41,20.37,-1.35,,
5411,4,34.95,11.63,23.33,26.27,6.14,20.47,0.58,,
3313,18,34.94,44.80,-9.85,25.73,5.65,20.75,0.85,,
4965,33,34.82,23.50,11.32,19.27,8.23,5.84,0.02,,
5720,45,34.81,45.29,-10.48,12.78,9.51,6.59,0.33,,
3459,3,34.79,26.04,8.75,24.45,11.63,22.16,-0.59,,
5614,15,34.69,40.70,-6.01,19.02,8.24,10.90,-0.74,,
4984,27,34.64,45.72,-11.08,26.30,7.91,18.06,0.69,,
3405,28,34.64,20.94,13.70,18.66,0.95,15.21,-0.95,,
3542,11,34.50,20.61,13.89,23.58,12.47,10.73,-0.71,,
5000,4,34.50,25.49,9.01,23.89,7.47,12.46,-0.63,,
4308,16,34.50,37.58,-3.08,15.43,10.26,14.73,-0.12,,
4063,6,34.49,13.65,20.84,23.75,8.32,9.27,-0.69,,
7451,4,34.48,8.30,26.17,24.71,9.21,17.38,0.61,,
5934,50,34.37,51.59,-17.22,18.38,16.70,6.96,1.69,,
1708,6,34.33,24.54,9.79,11.24,7.51,8.90,-2.34,,
2202,24,34.27,26.15,8.13,17.32,15.44,0.27,-0.17,,
4561,7,34.18,2.01,32.17,20.03,13.75,12.28,-1.90,,
7068,16,34.18,16.77,17.41,24.58,10.91,14.51,-0.30,,
1768,19,34.16,34.87,-0.71,21.19,12.98,17.19,1.62,,
8342,17,34.14,33.94,0.21,24.13,10.87,19.39,-1.09,,
5119,14,34.12,32.06,2.06,19.13,15.58,1.29,0.66,,
6574,13,34.10,27.86,6.24,26.03,3.11,10.41,-1.65,,
4827,12,34.05,48.14,-14.09,20.48,9.24,10.99,-0.01,,
6570,20,34.03,42.97,-8.94,22.22,9.05,12.13,0.17,,
1778,12,33.93,31.27,2.66,15.47,10.15,3.05,-0.62,,
4680,14,33.93,23.59,10.34,14.67,11.64,-2.26,-1.19,,
4048,28,33.93,24.68,9.25,20.69,5.28,11.23,-0.49,,
5822,25,33.91,30.23,3.69,21.20,12.15,12.06,-0.52,,
8261,6,33.91,17.25,16.66,10.84,5.06,9.30,1.27,,
7157,29,33.86,36.36,-2.50,17.34,15.00,8.70,0.87,,
1111,13,33.85,33.22,0.63,20.72,9.63,15.64,-1.70,,
6121,8,33.67,18.53,15.14,22.72,9.56,20.46,0.08,,
620,16,33.57,36.03,-2.46,13.08,14.55,7.58,-0.01,,
6485,12,33.55,17.46,16.09,25.45,8.81,22.92,-0.39,,
3212,51,33.51,57.62,-24.10,15.93,17.40,10.75,1.50,,
1908,22,33.51,44.23,-10.72,9.79,13.68,6.65,1.31,,
5152,24,33.46,26.39,7.06,24.33,5.13,19.61,1.79,,
1675,44,33.35,62.75,-29.40,29.75,4.40,14.80,2.02,,
6318,36,33.31,31.10,2.21,30.21,4.97,34.73,0.81,,
6802,12,33.21,33.02,0.19,19.37,11.35,13.01,-0.42,,
4645,6,33.20,6.26,26.94,25.03,6.35,20.66,-1.91,,
1574,23,33.16,31.82,1.34,21.85,6.51,14.35,0.87,,
5818,24,33.14,43.62,-10.48,13.20,14.01,1.39,0.74,,
314,16,33.06,28.02,5.04,22.20,10.23,14.26,-2.19,,
7426,21,33.05,35.08,-2.02,13.27,16.06,3.62,0.03,,
6411,35,32.98,16.85,16.13,21.59,8.44,12.54,0.80,,
7265,8,32.96,3.61,29.35,6.11,11.09,2.88,-1.55,,
4511,15,32.94,19.12,13.82,27.69,10.39,22.95,-0.53,,
1596,17,32.91,34.17,-1.26,28.61,5.12,25.73,0.31,,
4987,20,32.83,31.35,1.48,14.45,10.21,10.78,-0.46,,
2811,14,32.78,20.54,12.24,17.78,13.58,10.07,-0.69,,
2877,17,32.78,20.20,12.58,24.01,3.98,10.79,-0.45,,
7104,3,32.76,7.73,25.03,21.92,12.15,11.26,-0.40,,
8177,12,32.75,22.64,10.11,27.73,7.26,16.38,-0.60,,
1657,22,32.68,23.39,9.29,16.99,8.04,13.25,-0.81,,
701,40,32.66,34.13,-1.46,24.25,0.90,12.44,0.67,,
7460,53,32.63,66.06,-33.42,20.45,9.57,12.63,0.67,,
151,18,32.63,41.18,-8.55,22.54,11.17,19.83,1.27,,
6628,57,32.62,42.60,-9.97,19.06,10.00,10.27,0.95,,
2465,11,32.61,23.68,8.94,20.97,3.25,17.96,-1.17,,
4845,38,32.60,14.71,17.89,24.81,-0.17,18.83,-0.57,,
3488,24,32.58,30.52,2.06,22.59,11.90,11.67,0.35,,
308,25,32.56,37.42,-4.86,24.92,8.49,18.27,-0.27,,
8416,18,32.53,46.64,-14.11,17.00,1.26,17.39,0.19,,
5066,16,32.51,23.63,8.88,16.26,6.70,11.46,-1.28,,
7449,8,32.51,14.88,17.62,23.62,7.07,17.74,-1.66,,
7211,26,32.35,48.26,-15.91,25.02,7.21,18.67,1.24,,
5570,11,32.32,25.26,7.07,13.48,8.06,12.70,-1.70,,
7311,28,32.30,30.94,1.36,20.87,7.35,15.01,0.32,,
3136,10,32.28,25.92,6.36,15.20,9.22,9.59,0.28,,
7694,24,32.25,33.72,-1.47,9.84,16.22,5.49,0.86,,
6658,22,32.22,26.04,6.18,3.04,4.21,5.33,-0.47,,
6366,9,32.15,24.72,7.43,24.14,10.78,23.95,-0.36,,
93,37,32.14,37.73,-5.58,26.12,5.12,19.18,1.11,,
3070,5,32.12,11.04,21.08,16.51,6.97,12.69,-1.36,,
296,5,32.12,22.62,9.50,22.01,10.42,18.69,-0.40,,
3510,19,32.10,30.90,1.20,15.25,11.80,11.76,0.95,,
303,16,32.08,31.13,0.95,15.53,11.09,5.48,-0.21,,
1510,22,32.08,25.55,6.53,25.24,4.14,22.31,-0.70,,
3489,46,32.08,26.96,5.11,25.11,8.02,17.77,-0.48,,
1745,11,32.07,26.33,5.74,12.16,14.91,8.41,0.03,,
7480,11,32.05,36.62,-4.57,17.72,15.06,7.26,0.46,,
2181,29,32.05,31.06,0.99,12.70,15.11,7.68,0.24,,
7292,1,32.05,20.24,11.81,23.11,6.86,22.15,-1.10,,
1318,10,32.04,13.66,18.39,26.40,6.81,17.08,-1.09,,
611,11,32.04,25.31,6.73,19.44,5.45,21.26,-1.30,,
4942,13,32.04,34.39,-2.35,25.87,5.60,17.02,-1.12,,
1792,25,31.98,55.54,-23.56,17.17,10.26,-2.76,-0.31,,
5811,17,31.94,2.83,29.11,15.38,7.90,13.10,-1.40,,
2358,16,31.94,34.53,-2.59,25.79,14.18,14.84,-0.69,,
342,31,31.90,18.77,13.13,13.58,10.49,12.11,-1.13,,
4123,8,31.89,39.91,-8.02,22.48,14.16,19.38,-0.08,,
662,14,31.78,43.60,-11.83,9.84,4.52,2.16,-1.93,,
283,18,31.76,34.27,-2.51,18.30,8.08,14.26,0.39,,
2145,13,31.73,32.76,-1.02,28.20,4.71,18.36,0.47,,
4903,4,31.69,26.42,5.26,17.46,14.63,15.33,0.26,,
8070,8,31.68,38.95,-7.27,35.88,5.29,33.74,-1.64,,
7757,21,31.62,42.54,-10.92,15.39,11.52,13.53,1.00,,
4409,14,31.59,25.85,5.74,16.08,10.00,1.91,-1.06,,
