,Rank,OPR,DPR,CCWM,teleopOPR,autoOPR,endgameOPR
93,37,32.14444685283382,37.72771727893823,-5.583270426104406,26.121561879269752,5.119497095040164,19.175493616325262
167,7,43.74776529533305,23.415045183387647,20.332720111945406,31.894065408198024,13.209220556192847,20.984937838198384
1816,1,67.68949158702975,37.457741400713445,30.231750186316305,42.2113815518442,18.732440177334524,27.84631366152385
2169,54,30.509039576399793,41.054377513044685,-10.545337936644891,13.884839780129616,13.404814985949113,0.3117224939019767
2175,17,39.45738974459087,14.872658324683774,24.584731419907094,17.10207161635199,9.361796290902312,7.582446942721033
2177,47,26.655694238759786,55.28175901740655,-28.626064778646764,19.118675596420328,7.049319039160588,17.806803174745163
2264,31,47.280453658151885,35.082990351911704,12.19746330624018,27.80183047531779,10.161268633527065,9.023921055183955
2503,42,28.05503932737962,20.54886167946696,7.506177647912661,17.87965226658107,7.5546093353862425,11.15153222895714
2526,43,13.773892134989792,38.692724360585665,-24.91883222559587,14.899642351157294,1.8719142267955977,7.9480371625512
2823,20,30.73445815768552,22.100842140729988,8.633616016955532,15.170516835356967,18.255685423091396,1.7085858969726413
2861,8,41.08182076644641,26.210419889120587,14.871400877325826,28.916136168616106,9.35211369413942,29.365379623793086
3058,46,37.84251523760367,28.17756640046876,9.664948837134911,27.208339335383954,10.277742617198435,14.276439171699803
3100,56,21.766652911780234,52.18924667220907,-30.42259376042884,7.190911468461344,13.476272808361385,-2.275944254905342
3102,21,28.83599985734635,28.176471422933524,0.6595284344128274,14.694856536387388,17.531076618168917,5.667336984626035
3122,26,44.59628504280984,15.043083871105157,29.553201171704682,28.588434718119604,7.719957155858114,14.718379255018542
3134,33,38.42014825081668,31.083709515832147,7.336438734984533,21.102116794937146,8.981622631931812,20.53041675005713
3267,6,36.19624060848669,12.965290837846148,23.230949770640542,19.445777032812245,4.971112743278705,11.176802093881637
3275,28,43.77430938016772,43.49141257836264,0.28289680180508014,24.51265462851482,11.712284114824579,22.448141818367645
3291,39,13.398221244869436,24.17604214845457,-10.777820903585134,1.8130858264625225,11.018595067830512,3.313651759897363
3294,52,40.7084034736734,38.63158856664019,2.07681490703321,25.20008421462967,7.421091060247959,18.482801691851368
3740,12,39.17359079648514,18.046428077664494,21.12716271882065,26.49089406992826,6.233176899271567,25.302656882284147
3754,62,21.780382364578518,46.510395246730155,-24.730012882151637,15.397418704235271,3.6452080222357797,9.21951812010337
3755,45,26.50262426796781,42.873477596834704,-16.370853328866893,14.52988972212937,9.594683254323362,11.868876762088847
4009,19,45.5641651942551,40.25934246294155,5.30482273131355,21.49876420084132,21.12362744694476,10.237126701830945
4166,60,1.599428572937903,27.712397511847755,-26.11296893890985,2.43892069559905,5.16727218110617,-2.1594182258923666
4181,48,14.349433081388689,24.453166507928355,-10.103733426539666,10.165451416534797,8.324117144820939,9.374713845794144
4217,63,-1.4949135047507198,26.59690599553516,-28.09181950028588,-7.396140139353683,2.7075455992533857,-9.525065811844913
4230,34,41.03270866350685,40.790365339404005,0.24234332410284765,36.558637956976526,1.4338726345739605,23.70995610549626
4238,30,3.9330471262419984,34.65808844338103,-30.725041317139034,5.460002829502287,2.203778747958799,9.593285556987635
4480,59,35.82392935892852,48.91407616728995,-13.090146808361432,16.24183059210977,10.718197475955959,18.449997360999184
4511,15,32.939544277438785,19.124343020223908,13.815201257214877,27.69182646288683,10.386153994921331,22.951372195956015
4674,11,22.973441300640978,23.374176233865537,-0.4007349332245589,9.386538007714547,11.195370230465954,2.701295740004989
4728,14,48.934191827899596,21.335210117545525,27.59898171035407,31.84823396167812,15.088119497576827,14.150074952511833
4741,5,47.655632294693824,41.676238164840186,5.979394129853638,36.75191425644261,10.418679759583153,27.194446601000937
4845,38,32.59678376126657,14.710330915745839,17.886452845520733,24.806871108593608,-0.1665635593923298,18.833296217742433
5253,51,21.652870563685145,40.11788814104303,-18.465017577357887,2.7395477537996626,12.486301265254708,-2.1872999084811706
5290,61,16.94450292625924,53.302599973438426,-36.358097047179186,11.340648036763895,2.630475624112381,9.677584857826877
5348,3,48.00731499356846,34.174560335835174,13.832754657733282,30.277832005848314,18.46534372792753,18.319470579875237
5464,40,39.348314325595325,37.95251972749895,1.3957945980963729,24.475173799858236,12.493202347724647,18.922976835392774
5542,55,20.137409922032987,27.75165145065048,-7.6142415286174945,6.247995824356059,10.504821988947654,1.3520132008588313
5576,25,44.73315750047266,28.87273923518422,15.860418265288438,30.540012588057877,11.924513631119796,25.684350404440995
5586,49,25.912124387808817,56.457099807710286,-30.54497541990147,12.567723545499778,7.250298593159893,12.781728646000232
5653,41,23.725572299734146,29.88373554538034,-6.158163245646193,14.484974396089976,10.866843576915532,3.9314229105626914
5690,22,60.489034498142665,46.424850035733066,14.0641844624096,48.17300804969425,13.69177842210062,33.18508755423352
5826,35,26.600890499033866,37.650099183179144,-11.049208684145277,8.45311246714844,14.285553692361438,9.372270649357677
5991,4,56.38785499598556,30.521447717970428,25.866407278015135,53.41738604062009,3.1771949572209226,43.446465682601286
5999,53,19.75178221085495,36.513468050770044,-16.761685839915092,8.702737873545345,5.285058739852477,3.1550259261387605
6022,2,52.70604036563286,11.79653712255606,40.9095032430768,37.53830319555352,7.1334770828388505,28.247368443197384
6045,9,42.34730584983745,18.870717189674078,23.47658866016337,19.034023958310854,18.93761292805465,10.199603127204757
6047,44,4.57921507743637,22.537240451917775,-17.958025374481405,8.182969363052523,-0.09548147371529936,6.305176924532848
6146,29,37.501953335260694,35.082672238399354,2.41928109686134,20.722414381258606,13.416162642558792,17.438532946221557
6160,24,47.80197685884538,43.573212019642206,4.228764839203173,28.861673131005652,12.905214808364008,30.302522643378033
6217,27,41.6891163917446,29.682938348950266,12.006178042794332,19.747398490780142,16.82909823809562,11.514117875733886
6318,36,33.30952499210955,31.098388363239575,2.2111366288699763,30.211715461112043,4.973108746990038,34.72667995247242
6453,23,42.22240834483894,39.97003717942702,2.2523711654119225,32.59984257396493,8.969124157881591,22.0302601657043
6628,57,32.622732572303,42.596250377184674,-9.973517804881673,19.057980745062856,9.999096466688686,10.27173299032
7041,13,36.13628996728656,31.637796963267558,4.498493004019,26.030266285284,2.0723268768405116,26.559007696165832
7068,16,34.176469427947325,16.767896010828835,17.40857341711849,24.57704093204578,10.911886818103529,14.506003247235439
7797,10,46.703897346240154,37.0158529157174,9.688044430522751,27.348440204915725,13.317706988887068,20.43776743801781
7864,32,18.99102868879036,12.627230690634466,6.363797998155896,9.386475273438245,9.943455395205639,7.128607952558846
7893,58,8.407442380359184,34.0053725774127,-25.597930197053515,1.2041462773958793,8.665962732317867,-0.89381853579492
8372,50,12.58707803225434,35.65735803341468,-23.07028000116034,5.718903578725204,1.8744977624245025,6.180580499367618
8416,18,32.53041900872098,46.64226991582899,-14.111850907108007,16.998799773336007,1.2618740703679803,17.38730062593887
